amount,merchant_risk,location_change,multiple_transactions,behavior_score,device_change,ip_change,duplicate_transaction,night_transaction,fraud
11938.55,0,0,0,31,0,0,1,0,0
26636.57,0,1,1,1,1,0,0,1,1
42469.1,0,1,0,6,0,0,0,0,0
9262.45,0,0,1,6,0,0,0,0,0
19411.84,0,0,0,2,0,0,0,0,0
64801.16,0,0,0,21,0,0,0,1,0
49271.99,40,0,0,39,0,0,0,0,1
87865.58,0,0,0,10,0,0,0,0,0
90810.61,0,0,0,10,0,0,0,1,0
16109.54,0,0,1,7,0,0,0,0,0
67043.24,0,0,0,35,0,0,0,0,0
80779.98,20,0,0,12,1,0,1,0,1
81967.25,20,1,0,39,0,0,1,1,1
97185.14,20,0,1,39,0,0,0,0,1
87329.18,0,1,0,33,0,0,0,0,1
27810.91,0,0,0,7,0,1,0,0,0
31710.44,20,0,0,37,0,1,0,1,1
87946.5,40,0,0,29,0,0,0,0,1
50099.85,0,0,0,2,0,0,0,0,0
66690.82,0,1,0,33,1,1,0,1,1
11462.19,0,0,0,7,1,1,0,0,0
39899.69,0,0,1,3,0,0,0,1,0
50663.8,0,0,1,11,0,0,0,0,1
24619.36,20,0,0,16,0,0,0,1,1
3098.03,40,0,0,31,0,0,0,0,1
29511.04,0,0,0,32,0,0,0,0,0
43666.06,0,0,1,4,1,0,0,0,0
96388.0,0,0,0,27,0,0,0,0,1
30916.67,40,0,0,7,0,0,0,0,1
2645.06,0,0,0,12,0,0,0,0,0
42076.24,0,0,1,22,1,0,0,0,0
79239.52,0,0,1,18,1,0,0,0,1
66667.89,0,0,0,14,0,0,0,0,0
22454.57,0,0,0,17,1,0,0,0,0
94583.82,0,0,0,0,0,0,0,0,0
5061.47,20,0,0,7,0,0,0,0,0
94868.62,0,0,0,22,0,1,0,0,0
11066.14,40,1,0,22,0,0,0,0,1
44851.15,0,0,1,28,0,0,0,1,1
38123.57,0,0,0,21,0,1,0,0,0
32447.41,20,0,0,26,0,0,0,0,0
54290.27,0,0,0,9,0,0,0,0,0
17623.46,0,1,1,39,0,0,0,0,1
7289.81,0,0,0,37,0,0,0,0,0
68575.36,0,0,0,25,0,1,0,0,1
85318.68,0,1,1,9,1,0,0,1,1
67047.21,0,0,1,12,0,0,0,1,1
94485.29,20,0,0,9,0,0,1,1,1
9409.92,20,0,0,16,0,0,0,0,0
41004.24,0,0,0,16,0,0,0,0,0
64334.55,0,0,0,31,0,0,0,0,0
78858.25,0,0,1,5,0,0,0,0,1
3500.37,0,0,0,10,0,1,0,1,0
44109.61,0,0,1,0,0,0,0,0,0
88270.23,0,0,0,26,0,0,0,0,0
66293.11,0,0,0,5,0,0,0,0,0
55895.7,0,0,1,22,0,1,0,0,1
37761.24,0,0,1,2,0,0,0,1,0
65032.02,40,0,0,16,0,0,0,0,1
73206.28,20,0,0,33,0,0,0,1,1
59086.27,20,0,0,30,0,0,1,0,1
80932.36,0,0,0,30,0,0,0,0,0
21477.42,20,0,1,14,0,0,0,0,1
77636.2,20,0,0,28,0,0,0,0,1
16143.96,40,1,0,31,0,0,0,0,1
35603.42,0,1,1,11,0,0,0,0,1
40221.91,20,0,1,39,0,0,0,0,1
22714.27,20,0,0,15,1,0,0,0,0
29550.17,0,0,0,40,0,0,0,0,0
43076.83,20,1,0,12,0,0,0,0,0
52301.76,20,0,0,10,0,0,0,0,0
74999.09,0,1,1,36,0,0,0,0,1
18260.17,20,1,0,33,0,1,0,0,1
71349.41,0,0,1,2,1,0,0,1,1
95042.2,0,0,0,40,1,0,0,0,1
36426.94,0,0,0,28,0,0,0,1,1
38977.74,0,0,0,20,0,0,0,0,0
32886.55,0,1,0,39,0,1,1,0,1
90119.58,0,0,1,18,0,0,0,1,1
98248.29,40,0,1,23,0,0,0,1,1
54308.2,20,0,0,38,0,0,0,0,1
37452.94,0,0,0,21,0,0,0,0,0
37442.37,0,0,0,1,0,0,0,0,0
71340.95,0,1,0,0,0,0,0,0,1
65742.01,0,0,0,25,0,0,0,0,1
30198.43,40,0,0,33,0,0,0,0,1
72157.25,0,0,1,19,0,1,0,0,1
85390.6,0,1,0,21,0,0,0,1,1
23183.81,40,0,0,25,0,0,0,0,1
49109.25,20,0,1,0,0,0,0,0,0
73934.06,0,0,0,29,0,0,0,0,0
85459.65,0,0,0,6,0,0,0,0,0
13269.07,20,0,0,25,1,0,0,0,0
32913.18,0,0,0,15,0,0,1,0,0
2106.17,0,0,1,14,0,0,0,0,0
25641.8,40,1,1,24,0,0,0,1,1
3493.32,0,1,0,23,1,0,0,0,1
77150.55,0,0,0,2,0,0,1,0,0
48724.7,20,0,0,3,0,0,0,0,0
96218.64,20,0,0,8,0,0,0,0,0
9353.55,0,0,0,24,0,0,0,0,0
6406.11,0,0,0,2,0,0,0,1,0
9875.1,20,0,0,15,0,0,0,1,0
70137.97,0,0,0,37,0,0,0,0,1
55301.66,0,0,1,24,0,0,0,0,1
80950.27,20,0,0,1,0,0,0,0,1
58177.18,0,0,0,1,0,0,1,0,1
9997.41,20,0,0,10,0,0,0,0,0
92623.72,20,1,1,10,0,0,0,0,1
54746.15,20,1,1,19,0,0,0,0,1
36090.96,0,0,0,2,0,0,0,0,0
94476.88,0,0,0,33,0,0,0,1,0
7893.28,40,0,1,39,1,0,0,0,1
28030.17,20,0,1,29,0,0,1,0,1
41464.82,0,0,0,8,0,0,0,0,0
44960.06,20,1,0,5,1,0,0,0,1
50507.47,0,0,0,0,1,0,0,0,0
5922.14,20,0,1,26,0,0,0,0,0
43348.93,0,0,0,10,0,0,0,0,0
190.19,0,0,0,14,0,0,0,0,0
50024.37,0,0,1,14,0,0,0,0,0
89625.98,0,0,1,37,0,0,0,0,1
53752.14,0,1,0,9,0,0,1,0,1
16425.81,0,0,0,3,0,0,0,1,0
86725.96,0,0,0,34,0,0,0,0,0
26694.85,0,0,1,9,0,0,0,1,0
30189.1,0,1,0,29,0,0,0,0,0
60318.35,0,0,1,27,0,0,0,1,1
1801.54,0,0,0,32,0,0,0,0,0
98020.42,40,1,0,6,0,0,0,0,1
80785.85,0,0,1,32,0,1,0,1,1
87170.88,20,0,0,34,0,1,0,0,1
145.84,0,1,0,2,0,0,0,0,0
28118.39,0,0,0,20,0,0,0,0,0
60602.31,0,1,1,19,1,0,0,0,1
19015.14,0,1,1,28,0,0,1,0,1
91814.47,0,0,0,34,0,0,1,1,1
92289.75,40,1,1,23,0,0,0,0,1
13723.74,0,0,0,1,0,0,0,0,0
24036.98,0,0,0,37,0,1,0,0,0
1546.06,0,1,1,14,0,0,0,0,1
41324.84,20,0,0,24,0,0,0,0,0
41409.42,20,1,1,11,0,0,0,0,1
99638.42,0,0,0,33,0,1,0,1,1
90411.33,0,0,0,5,0,0,0,0,0
31366.97,0,0,0,18,0,1,0,0,0
57677.95,0,0,0,14,0,0,0,1,0
65676.17,0,0,0,19,0,0,0,0,1
98444.18,0,0,1,0,0,0,0,0,1
58198.0,0,0,0,39,0,0,0,0,1
41706.81,0,0,0,39,0,1,0,0,1
85847.9,0,0,1,7,0,0,0,0,0
32000.51,20,0,0,22,0,0,0,0,0
36404.76,20,0,0,15,0,1,0,0,0
7155.13,0,0,0,37,0,0,1,0,0
67239.49,20,0,1,36,0,0,0,1,1
18843.6,20,0,1,21,0,1,0,0,1
494.07,0,0,0,14,0,1,0,0,0
85043.8,0,0,0,36,0,0,0,0,0
58951.07,40,0,0,15,0,0,1,0,1
66316.42,0,0,1,26,0,0,0,0,1
23449.84,0,0,0,8,0,0,0,0,0
6915.91,20,1,1,34,0,1,0,1,1
84093.17,40,0,0,37,0,1,0,0,1
51208.52,40,0,0,7,0,0,0,0,1
97735.29,0,1,0,10,0,0,0,0,0
64247.46,0,1,0,37,0,0,0,0,1
43256.25,0,1,0,35,1,0,0,0,1
42623.82,0,0,0,19,0,0,0,0,0
6524.78,40,0,0,38,0,0,0,0,1
96797.87,0,1,1,19,0,0,0,0,1
86785.2,0,1,0,27,0,0,0,0,1
80671.74,0,1,0,22,0,0,0,0,1
40050.15,0,0,0,15,0,0,0,1,0
78150.21,0,0,1,16,0,0,0,1,1
2795.11,0,0,1,32,0,0,0,0,1
86427.14,0,1,0,27,0,0,0,0,1
16714.26,0,0,0,16,0,0,0,0,0
90256.44,0,0,0,35,0,0,0,1,1
61634.84,0,1,0,13,0,1,0,0,1
57873.17,0,0,0,27,0,0,0,1,0
21633.71,0,1,1,0,0,0,0,0,0
99282.78,0,0,0,18,0,0,1,0,1
45108.63,40,0,1,26,0,0,0,0,1
94549.6,0,1,0,9,0,0,0,0,0
92521.73,0,0,0,5,0,0,0,1,0
70883.59,20,0,0,34,0,0,1,0,1
74905.92,40,0,0,32,1,0,1,1,1
57058.35,0,0,1,15,0,0,0,1,1
33543.83,0,0,1,3,0,0,0,0,0
78966.23,0,0,1,11,0,0,0,0,0
59012.3,0,0,0,25,0,0,0,0,0
57768.06,0,0,0,29,0,0,0,0,0
86007.99,40,0,0,29,1,1,0,0,1
10642.65,20,0,0,36,0,0,0,0,1
66312.16,0,0,1,26,1,0,0,1,1
89473.16,0,1,0,6,0,0,0,0,1
4363.72,0,0,0,30,0,0,0,0,0
95366.06,0,0,0,7,1,0,0,1,1
46551.08,0,0,0,36,0,0,0,0,0
85633.57,0,0,0,15,0,0,0,0,0
85790.15,0,0,0,16,0,0,0,0,0
82286.15,20,0,0,16,0,0,0,0,0
90153.4,0,0,0,4,0,0,0,0,0
66927.58,20,1,0,3,0,0,0,0,1
80664.69,0,0,0,16,0,0,0,1,0
63406.09,0,0,0,37,0,0,0,1,0
64207.46,0,0,0,1,1,1,0,0,1
56719.93,20,0,0,39,1,0,0,0,1
69771.9,0,0,0,22,1,0,0,0,1
30252.42,0,0,0,25,1,0,0,0,0
815.11,20,0,0,34,0,0,0,1,1
77595.71,20,0,0,2,0,0,0,0,0
84971.82,0,0,0,37,0,0,0,1,1
65290.92,20,0,0,33,0,0,0,0,1
5407.31,20,0,0,19,1,0,0,0,0
76199.24,0,0,0,1,0,0,0,1,0
97612.07,0,0,0,31,0,0,0,1,1
51219.01,40,0,0,24,0,0,0,1,1
43233.59,0,0,0,18,0,0,0,0,0
54485.23,40,0,0,10,0,0,0,0,1
53004.33,0,1,0,10,0,0,0,0,1
77573.75,0,1,0,4,0,0,0,0,0
2537.56,40,0,0,13,0,1,0,0,1
63936.65,20,0,1,39,0,0,0,0,1
66592.57,0,0,0,21,0,0,0,0,0
82351.32,0,0,0,35,1,0,0,0,1
7623.58,20,0,0,7,0,1,0,0,0
44549.96,40,0,1,13,0,0,0,1,1
46090.66,0,0,0,21,1,0,0,0,0
8318.62,20,0,0,26,1,1,0,0,0
59019.15,0,0,0,31,1,0,0,1,1
92321.41,0,0,0,35,0,0,1,0,1
72938.47,0,0,0,40,0,0,0,0,1
43756.13,0,1,0,35,1,1,0,1,1
30265.32,0,1,0,21,0,0,0,0,0
58746.88,40,0,0,9,0,0,0,1,1
12478.17,20,0,0,21,0,0,0,0,0
20604.7,0,0,1,22,0,0,0,0,0
55030.18,0,0,0,7,0,0,0,0,0
13170.82,0,0,0,10,1,0,0,0,0
76462.79,20,0,0,39,1,0,0,0,1
41148.9,40,1,1,32,1,0,0,0,1
98318.32,0,0,0,5,0,0,0,0,0
80888.21,0,0,1,5,0,0,0,0,0
38581.89,0,0,0,28,1,0,0,1,1
73155.2,0,0,0,17,1,0,1,0,1
3338.7,0,0,0,2,0,0,0,0,0
70941.46,0,1,0,17,0,0,0,0,1
18291.45,0,0,0,6,0,0,0,0,0
4736.06,0,0,0,6,0,0,1,0,0
17588.24,40,0,0,0,0,0,0,1,0
59686.26,0,0,0,12,1,0,1,0,1
40796.53,20,0,0,12,0,0,0,0,0
73059.23,0,0,0,19,0,0,0,0,1
90798.11,0,0,0,29,0,0,0,0,1
36824.8,20,0,0,29,0,0,0,0,0
48465.38,0,0,0,13,0,1,0,0,0
85863.65,40,1,0,12,0,0,0,0,1
58215.14,0,1,0,19,0,0,0,0,1
8969.34,20,0,0,35,0,1,0,0,0
14805.38,40,0,0,7,0,0,0,0,0
89341.45,0,0,0,13,0,1,0,1,1
16002.23,0,1,0,0,0,0,0,0,0
76622.07,0,0,0,14,0,0,0,0,0
98418.05,0,0,0,11,0,0,0,0,0
95005.11,40,0,0,28,1,0,0,1,1
75580.81,0,0,1,17,0,0,0,0,1
96308.62,0,0,0,12,0,0,0,0,0
52695.63,40,0,1,22,0,0,0,0,1
80786.76,0,0,1,25,0,0,0,0,1
70936.16,40,1,0,22,0,0,0,0,1
56151.44,0,0,0,39,0,0,0,0,0
3358.0,20,0,0,19,0,0,0,1,0
87681.09,0,0,1,26,0,0,0,0,1
37640.89,0,0,0,23,0,0,0,0,0
84665.57,20,0,0,25,0,0,0,0,0
1216.67,0,0,1,34,0,0,0,0,1
47230.69,20,0,0,19,0,0,0,1,0
49418.53,0,0,1,2,0,0,0,0,0
85346.65,0,0,0,10,0,1,0,0,1
77192.17,0,0,0,40,0,0,1,0,1
25794.85,0,0,0,9,0,0,0,0,0
63388.95,0,0,1,31,0,0,0,0,1
43733.69,0,0,1,12,1,1,0,0,1
74110.12,0,0,0,39,0,0,1,0,1
29679.98,0,0,0,35,1,0,0,0,0
17160.9,0,0,0,25,0,0,0,0,0
60691.97,20,0,1,16,0,0,0,0,1
73539.49,0,1,0,7,0,0,0,0,0
52835.4,0,0,0,20,0,0,0,0,0
97764.86,0,0,1,17,1,0,0,0,1
99982.77,40,0,1,26,0,0,0,0,1
34342.54,40,0,1,33,1,0,0,0,1
87716.27,0,0,0,34,0,1,0,0,1
83348.52,0,0,1,8,1,0,0,0,1
10351.87,20,0,0,9,0,0,0,0,0
23398.41,40,0,0,24,0,0,0,0,1
77607.71,0,0,0,22,0,0,0,0,0
62237.94,0,0,1,12,1,0,0,0,1
67861.68,0,0,0,32,0,0,0,0,1
80368.52,0,0,0,11,1,1,1,0,1
63646.86,0,0,0,10,1,0,0,0,0
24251.43,0,0,1,2,0,0,0,0,0
61960.17,0,0,0,32,0,1,0,0,1
69863.36,0,0,0,16,1,0,0,0,0
30350.63,40,1,1,15,0,0,0,0,1
21010.36,0,0,0,34,0,0,0,1,0
29715.33,0,0,0,34,0,0,0,0,0
74514.83,20,0,0,8,0,0,0,0,0
92364.88,20,0,0,36,1,0,0,0,1
58478.15,0,1,0,37,1,0,0,1,1
8601.02,0,0,0,16,0,0,0,1,0
60465.7,0,1,0,14,0,0,0,0,1
3923.89,0,0,0,40,0,0,1,1,0
42784.66,0,0,0,39,0,1,0,0,1
1302.07,0,1,0,31,0,0,0,0,0
6655.74,20,0,1,16,1,0,0,1,1
84352.06,0,0,0,10,0,0,0,1,0
37934.74,20,0,0,25,0,0,0,0,0
75245.6,20,0,0,11,0,0,0,0,1
3357.15,0,0,0,30,0,0,0,1,0
34650.18,40,0,0,33,0,1,0,1,1
10439.88,0,0,0,38,0,0,0,0,0
45891.07,0,1,0,15,1,1,0,0,0
8822.81,20,0,1,28,0,0,0,0,0
99564.96,0,0,0,11,0,1,0,0,0
23887.52,20,0,0,6,0,0,0,0,0
19036.67,20,0,1,27,0,0,0,0,0
55272.4,0,0,0,21,1,0,0,0,1
32361.01,0,0,0,28,1,0,0,1,1
88184.68,0,0,1,30,1,0,0,0,1
95911.71,20,0,0,40,0,0,0,0,1
5383.06,0,0,0,4,0,1,0,0,0
86695.68,20,1,1,35,0,0,0,0,1
58907.05,0,0,0,26,0,0,1,0,1
11730.83,0,1,1,3,0,0,0,0,0
92407.7,0,0,0,11,0,1,0,0,0
42126.96,0,0,1,26,0,0,0,0,0
34486.29,0,0,0,4,0,0,0,0,0
50574.49,40,0,0,9,0,0,0,0,0
63702.72,0,0,0,21,0,0,0,0,1
73174.1,0,0,0,9,0,0,0,0,0
70979.13,40,0,0,27,0,1,0,1,1
64505.86,40,1,1,24,0,0,0,0,1
57636.41,0,0,0,23,1,0,0,0,1
60929.23,20,0,0,33,0,0,0,0,1
61983.74,0,0,0,9,0,1,0,0,1
7931.29,0,0,1,7,0,0,0,1,0
11461.27,20,0,1,9,0,1,0,0,0
89316.27,40,0,0,19,0,0,0,0,1
41693.04,0,0,1,22,0,0,0,0,1
41161.49,0,0,1,23,0,0,0,1,0
84314.33,20,0,1,31,0,0,0,0,1
3639.34,0,0,0,37,0,0,0,0,0
73751.54,0,0,0,35,1,0,0,0,1
48896.38,40,1,0,20,0,0,0,0,1
12559.89,0,0,0,21,0,0,0,0,0
95310.04,0,0,0,6,0,0,0,1,0
77176.45,0,0,1,22,0,0,0,1,1
87963.31,0,1,1,35,0,0,0,1,1
25823.04,0,1,1,30,0,1,0,0,1
63763.1,0,1,0,23,0,1,0,0,1
16464.19,0,0,0,8,0,0,0,0,0
47346.6,40,0,0,2,1,1,0,0,1
99867.84,20,0,0,26,0,1,0,1,1
60653.61,0,0,0,10,0,0,0,1,0
90290.2,0,0,1,30,0,0,0,0,1
48461.45,20,0,0,5,0,0,1,0,1
82019.78,0,0,0,19,0,0,0,0,0
18456.24,0,0,0,35,0,0,0,0,0
6034.33,40,0,0,21,1,0,1,0,1
12805.65,20,0,0,16,0,0,0,0,0
58274.5,40,0,0,30,0,0,0,0,1
54943.75,0,1,0,25,1,0,0,0,1
66195.13,0,1,0,36,0,0,0,0,1
41545.85,0,0,0,31,1,0,1,0,0
85810.43,0,0,0,38,0,0,0,1,1
98131.37,20,0,0,32,0,0,0,0,1
45720.84,0,0,0,5,0,0,0,0,0
32944.5,0,0,0,5,0,0,0,0,0
86074.1,0,0,1,10,0,1,0,0,1
92244.56,0,1,1,22,0,0,0,0,1
78544.21,0,0,0,36,0,0,0,0,1
56275.88,20,0,1,31,0,1,1,1,1
97445.54,0,0,0,31,0,0,0,0,0
77566.1,0,0,0,21,0,1,0,0,1
88468.19,0,0,0,33,0,0,0,0,1
7936.58,0,1,0,7,0,0,0,1,0
24365.82,0,0,0,16,0,0,0,0,0
43159.93,0,0,0,33,0,1,0,0,0
76094.96,0,0,0,22,0,0,0,1,0
18542.47,0,1,1,27,0,0,0,0,0
54557.33,0,0,1,7,0,0,1,0,1
10295.79,20,0,1,15,0,0,0,0,1
4057.43,40,0,0,3,0,0,1,0,0
15287.4,40,0,1,26,0,0,0,1,1
41515.28,0,0,0,23,0,0,0,1,0
54801.84,0,0,1,13,0,1,0,0,1
23426.47,0,0,0,29,0,1,0,0,0
38862.21,20,1,0,16,0,0,0,0,0
58071.88,0,1,0,27,0,0,0,0,1
37899.57,40,1,0,21,0,1,0,0,1
76147.72,40,0,0,2,1,0,0,1,1
82301.13,40,1,0,40,0,0,1,0,1
98756.98,20,1,0,26,1,0,0,0,1
88976.51,20,0,0,38,0,0,0,0,1
52591.18,0,0,0,39,1,0,0,0,1
51358.86,0,0,0,26,0,0,0,1,1
74157.72,20,0,0,19,1,0,0,0,1
55060.53,0,1,0,40,0,0,0,0,1
2246.44,0,0,0,27,0,0,0,0,0
75470.04,0,0,1,5,0,0,0,0,0
50591.13,0,0,1,14,1,0,1,0,1
79107.14,0,0,0,22,0,0,0,1,0
57560.47,0,0,0,12,0,1,0,0,0
28126.48,20,0,0,16,0,0,0,0,0
94508.63,0,0,0,19,0,0,0,0,0
76320.5,20,0,0,10,0,0,0,1,0
74843.89,40,0,0,37,0,0,0,0,1
50244.84,0,0,0,35,0,0,0,1,0
12698.48,0,1,0,30,0,0,0,0,0
82078.68,0,1,0,23,0,1,0,0,1
93542.76,0,0,0,13,0,0,0,0,0
1446.9,0,0,0,27,0,0,0,0,0
12126.54,20,0,0,7,0,0,0,0,0
47685.03,0,1,1,20,0,0,0,1,1
26289.08,0,0,0,16,0,0,1,0,0
14959.54,20,0,0,16,0,0,0,1,0
66554.39,0,0,1,40,0,0,0,1,1
66933.21,0,0,1,26,0,1,1,1,1
10486.01,0,0,1,39,0,0,1,1,1
55245.36,20,0,0,36,1,0,0,1,1
75104.71,0,0,0,36,0,1,0,1,1
54869.51,0,0,0,35,0,0,0,0,1
23966.89,20,0,0,26,0,0,0,1,0
21309.24,0,0,0,3,0,1,0,1,0
42761.08,0,1,1,5,0,0,1,1,1
62989.14,0,0,0,28,0,0,0,0,0
39972.62,0,0,0,5,1,0,0,0,0
16387.16,0,0,0,11,0,1,0,0,0
93961.25,0,0,0,27,0,0,0,1,0
70318.71,0,0,0,11,1,1,0,0,1
99401.54,20,1,0,34,1,0,0,0,1
5957.42,0,0,0,7,1,0,0,0,0
36498.43,20,0,0,12,0,0,0,0,1
82662.64,40,1,1,15,0,0,0,0,1
67128.09,0,0,0,24,1,0,0,0,0
35635.71,0,0,0,39,0,0,0,0,1
19684.15,40,0,0,18,0,0,0,1,0
47302.03,0,1,0,4,1,1,1,1,1
806.03,0,0,1,7,0,0,1,0,0
30602.58,0,1,0,32,0,0,0,0,0
98219.2,0,0,0,1,1,0,0,0,0
88913.82,20,0,0,16,0,0,0,0,1
13140.05,0,0,1,32,0,0,0,0,1
74925.68,0,0,1,25,0,0,1,0,1
18323.34,0,0,0,2,1,0,0,0,0
83652.84,20,0,0,27,0,0,0,0,0
59160.26,20,1,1,25,0,0,1,0,1
566.37,0,0,0,2,0,0,0,1,0
693.84,0,0,1,26,0,1,0,0,1
52535.05,0,0,1,9,0,0,1,1,1
47013.36,0,0,1,27,0,0,0,0,1
75255.46,0,0,0,0,1,0,0,0,1
16775.58,20,0,0,10,0,1,0,1,0
73121.51,0,0,0,38,0,0,1,0,1
75884.49,0,0,0,6,0,0,0,0,0
94299.21,0,0,1,8,1,0,0,0,1
47338.27,0,0,1,36,0,0,0,1,1
43159.41,0,0,0,24,0,0,0,0,0
54295.56,0,0,0,4,0,0,0,1,0
91454.17,0,1,1,8,0,0,1,0,1
47390.25,0,1,0,5,0,0,0,0,0
92461.47,0,0,0,4,0,0,0,0,0
99741.94,0,0,0,31,0,0,1,1,1
17878.32,20,0,0,14,0,0,0,0,0
57928.93,0,0,0,17,0,0,0,0,0
28266.25,20,0,1,3,0,0,0,1,0
30471.27,0,0,1,5,0,0,0,0,0
84223.63,20,0,0,40,1,1,0,0,1
77826.28,0,0,1,37,0,0,0,0,1
13244.95,0,0,0,26,0,0,0,0,0
67758.96,0,0,0,25,0,0,0,0,0
74205.6,40,1,0,26,0,0,0,0,1
2809.99,0,0,0,26,1,0,0,0,0
64422.68,0,1,1,39,1,0,0,0,1
72434.4,20,0,0,6,0,0,0,0,1
92857.42,0,0,0,3,0,1,0,0,0
44026.23,0,0,1,10,0,1,0,0,0
83437.03,0,0,0,38,0,0,0,0,0
88843.26,20,0,0,10,0,0,0,0,1
61485.5,20,0,0,39,0,0,0,0,1
60279.69,0,1,0,9,0,0,0,0,1
42331.21,0,0,1,22,0,0,0,0,0
95990.54,0,0,0,22,0,1,1,0,1
67314.83,20,1,0,16,0,0,0,0,1
1326.39,20,0,0,7,0,0,0,0,0
53942.18,0,1,0,14,0,0,0,0,1
22732.76,40,1,0,8,0,1,0,0,1
6441.91,20,0,0,29,0,0,0,0,0
17712.42,0,0,0,11,1,0,0,0,0
89336.55,0,1,1,40,1,1,0,0,1
38838.81,0,0,0,9,0,0,0,0,0
75341.83,0,0,0,39,0,0,0,0,1
3427.73,0,0,0,34,0,0,0,0,0
78444.92,20,0,0,1,0,0,0,0,0
49872.26,0,0,0,6,0,0,0,0,0
87009.31,0,0,1,24,0,1,0,0,1
54166.2,20,0,1,6,0,0,0,0,1
745.88,20,0,0,8,0,0,0,0,0
87418.92,40,0,0,2,0,1,0,0,1
20926.91,0,0,0,24,0,0,0,0,0
18200.02,20,1,0,6,0,1,0,1,0
84170.05,40,0,0,23,0,0,0,0,1
50018.34,0,1,0,16,0,0,0,0,1
90332.25,0,1,0,19,0,0,0,0,1
70160.79,0,0,0,36,0,0,1,0,1
8403.88,20,0,0,7,0,0,0,0,0
69445.74,0,0,1,30,0,0,0,0,1
86209.1,40,0,0,18,0,1,0,0,1
22038.46,0,0,0,37,0,0,0,0,0
1127.92,0,0,1,1,0,0,1,0,1
265.78,0,1,0,34,0,0,0,1,1
74522.96,40,0,1,1,0,0,0,0,1
91329.11,0,0,0,13,1,0,0,1,1
66565.03,0,0,1,23,0,0,0,0,1
76164.29,40,0,0,36,0,1,0,0,1
92947.11,0,0,0,23,0,1,0,0,1
62484.2,20,1,0,8,0,0,0,0,1
43468.73,0,0,1,13,0,0,0,1,0
30536.43,0,0,0,11,0,0,0,1,0
40530.59,0,0,0,14,0,0,0,0,0
82745.87,40,0,0,33,0,0,0,0,1
56204.28,20,0,1,12,0,1,0,0,1
30625.07,0,0,0,16,0,0,0,1,0
29359.64,40,0,1,8,0,0,0,0,1
27803.28,20,1,0,2,0,0,0,0,0
56437.96,0,0,0,34,1,0,0,0,1
16013.77,0,1,0,23,0,0,0,0,0
25343.67,0,0,0,1,0,0,0,0,0
90507.93,0,0,0,30,0,1,0,0,1
44513.64,0,0,0,18,0,0,0,0,0
36778.54,0,1,0,20,0,0,0,1,0
30317.31,20,0,0,15,0,0,0,0,0
56194.31,0,0,1,21,0,0,0,0,1
37934.41,0,0,0,17,0,0,0,1,0
85043.67,0,0,1,2,0,0,0,1,1
71210.38,0,0,0,13,0,0,0,0,1
22041.54,20,0,0,39,1,0,1,0,1
39623.16,0,0,0,24,1,0,0,1,0
31998.1,0,0,1,25,0,0,0,0,0
7386.06,0,0,0,29,0,0,0,0,0
12467.69,0,0,0,25,0,0,0,1,0
94378.87,0,1,0,8,0,0,0,1,1
86794.69,0,0,0,36,0,0,0,0,1
96473.5,20,0,0,15,0,0,0,0,0
98881.5,0,0,0,5,0,1,0,0,0
99534.52,0,0,0,2,0,0,0,0,0
77223.6,0,0,0,29,0,0,0,0,1
33052.7,0,0,0,25,0,1,0,0,0
25497.92,0,0,0,37,0,0,0,0,0
